"","E1U","E2F","E2M","E3F","E3M","E4F","E4M","E5F","E5M","E6F","E6M","E7F","E7M","E8F","E8M"
"FBgn0265074",0,5.09563357460401,5.12357326549655,2.72011150077286,3.44117598247084,1.30747615356438,1.22968645538764,4.06493453289777,3.47218457050868,0.384200171757645,2.28482300006959,1.15181083167102,1.15219351700731,0.337981491746854,0.953826168083055
"FBgn0051974",0.324636759075783,5.69142787250758,5.08474563781896,2.57973397534726,5.05756305515608,6.24995285182503,5.30182629237968,44.652687704656,24.3451414645267,29.8623753195737,45.1197685171184,17.263841961174,14.2752312498594,29.437529175635,71.1307575041431
"FBgn0031224",71.8800825501685,43.4495817108893,36.5513600340852,59.5225879691907,65.981888426641,101.782160373734,103.596297680491,121.284680799997,128.727893393544,116.760100075991,123.500868767594,116.526505534557,119.106472514601,113.601012139224,111.005458421732
"FBgn0259818",19.1314045343701,123.561813011294,122.656090089423,123.379628981549,138.517498519695,183.601467203346,162.113459898003,163.655423744539,142.622300754213,117.486907022245,110.154403632724,87.8892889655775,81.4650576595072,69.2078967189991,57.3070223668174
"FBgn0031227",101.752889894259,100.206800846101,102.580338240965,68.8105521818225,72.1059336165338,75.2676396293556,69.095697418578,59.8558698715012,74.8785271683368,63.6156961816519,79.3030810043668,64.6901869332693,61.0869929125034,69.9956505267665,69.0367413732218
"FBgn0031229",292.947983220658,420.149740028119,388.835431267664,408.098508457674,454.915231899439,432.370882363802,442.948483560126,421.632410359886,447.970826330076,342.491058715298,373.854424249798,286.322905242823,272.316017152905,244.205036906779,250.731269557148
"FBgn0053635",52.309069734088,49.7634379166249,57.9464838596939,43.8554775809035,39.0109057479944,46.6244149593452,50.4643931182694,34.7914917499966,45.601727030769,40.5220924789317,28.7253380181009,43.4332507967635,42.2697415701426,45.7217942794429,55.8424849374366
"FBgn0016977",4725.33574106256,14330.6387937982,12350.0128236939,10583.2835523455,12320.0735517242,10583.700502496,9288.66965447042,12579.4473564904,10694.8228460915,18055.5321499165,16263.5432727776,13651.7411436962,15826.1906535484,11655.190457198,11971.4388769514
"FBgn0031231",183.103045834146,68.4202321588938,74.4203960687058,45.0751558058643,42.7448486337368,36.120458942917,35.6498416744003,24.5161436214706,31.9197794600542,33.9417457341237,31.956490367749,97.3590298434819,80.3865302883999,191.469893553133,173.713555690567
"FBgn0031232",0.70030645541017,6.42860783580988,8.24714993245912,3.25976185054048,6.71004804976107,5.33712680561525,5.24351231316222,7.83135940933997,8.74317838232229,3.45780154581881,6.10185706655496,5.03491191021098,4.79639551796513,17.6049203246516,15.7382591008962
"FBgn0031233",455.168759621568,289.512532406482,393.107451560459,125.98583221574,118.481846883912,125.867686300625,105.570014013854,141.568136719548,149.687155447056,143.793593146144,139.510431373851,154.082370616196,148.875882506855,147.501010033183,163.504471217786
"FBgn0266557",10582.1867298573,27576.3731307714,24129.0935283904,20758.3224214184,22267.807296806,21667.9337736869,18106.0616682076,23901.8841930391,19653.3969055396,21789.2756763252,20757.2179207659,15487.1381123129,16736.7105203406,12570.6134391939,12768.5273275426
"FBgn0265151",0,28.7422057118326,26.473765522507,22.1866340893682,25.3462098673612,13.622154084673,16.9491578630329,30.8758638642762,19.1340300694467,31.4970636564603,23.0597443831651,10.1314439414819,9.1841711482945,6.72973188467718,4.21620927523526
"FBgn0265153",0,83.2844054460553,73.7850406661688,64.5152091356163,73.4862163255105,53.6253949523872,38.9336895060513,96.656727824773,63.175830391625,79.6052719206888,60.8294393900251,28.612596047853,29.7429451748622,19.5279113396092,17.6458012553508
"FBgn0265152",0.108551159045021,5.76455549780892,10.3727634571836,6.98898528813577,7.64146234206938,4.92471362391838,5.95135927560295,8.90085706899967,8.23267436127943,3.07360137406116,4.35281865002407,3.14868067854025,4.24044333852947,2.45013016936421,0.60569915548505
"FBgn0263465",0,3.2858718992362,1.2584169805047,1.36005575038643,1.68420553160757,2.50708637046692,2.78413940238693,4.0265849686153,1.31472796302237,1.92100085878823,0.611570510385028,1.3632699376283,1.07852737110736,0.827423911989886,0.183657772782535
